country_name,income_id,gdp_per_capita($),composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
St. Martin (French part),HIC,"30,386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,30959,NA,NA,NA,NA,NA,NA,15479.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,LMC,"6,915",60,2,2.5,6,9,8,NA,NA,NA,No,No,Yes,Yes,Yes,34318080,NA,7000000,30300,289385,1599710.62,21000,6852000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,1,NA,NA,NA,52,2,8,37,NA,NA,Disposal site
Monaco,HIC,"43,712",NA,3,2.2,NA,2.2,1,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,37783,NA,NA,NA,312.07,NA,NA,46000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,5.4,NA,9.6,NA,NA
Moldova,LMC,"10,361",55,4,3,23,5,10,NA,NA,NA,No,Yes,Yes,Yes,Yes,3554108,NA,1400000,6300,418,2841700,15700,3981200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.08,NA,15.32,NA,49.6,NA,Other
Madagascar,LIC,"1,566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,24894552,NA,NA,14000,45957,NA,NA,3768759.16,NA,NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,96.7,NA,NA,NA,NA,NA,NA
Maldives,UMC,"17,285",24,NA,1,1,6,3,NA,NA,65,No,Yes,Yes,No,Yes,409163,NA,6161.2,3003.95,15105.525,NA,1737.4,211505.78,NA,NA,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA,NA,7,NA,6,NA,NA,24,NA,NA,NA,63,Ministry forecast
Mexico,UMC,"19,332",52.4,5.9,3.4,12.1,13.8,10.9,NA,NA,NA,Yes,NA,Yes,Yes,NA,125890952,NA,6000000,957900,18172.49,NA,978.06,53100000,NA,NA,NA,NA,NA,NA,NA,93.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,5,74.5,NA,NA,NA
Marshall Islands,UMC,"3,629",8,2,6,31,11,13,NA,NA,29,NA,Yes,Yes,None,NA,52793,NA,NA,NA,NA,NA,43.16,8614,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,66,NA,NA,6,NA,NA,NA,NA,NA,30.8,NA,63.2,NA,NA
"Macedonia, FYR",UMC,"16,148",29.3,4.1,2.5,19.8,12.8,13.9,0.9,0.7,16,Yes,Yes,Yes,Yes,NA,2082958,91933,121551,1220,40797,NA,951293,626970.375,NA,NA,NA,NA,NA,NA,73,76.61,NA,NA,NA,NA,NA,0.1,NA,NA,99.72,NA,NA,0.18,NA,NA,NA,Disposal Site
Mali,LIC,"2,008",17.5,1,3.5,72.5,3.5,2,NA,NA,NA,NA,NA,NA,Yes,NA,16006670,NA,NA,12000,NA,NA,NA,1937354.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malta,HIC,"43,708",52,6,4,9.5,18,12,NA,NA,NA,Yes,Yes,Yes,Yes,NA,502653,16607,1258426,7643,36523,106235,23418,348841.1875,NA,NA,NA,NA,NA,NA,NA,96.65,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,6.69,89.59,3.35,NA,NA
Myanmar,LMC,"1,094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,46095464,NA,NA,55000,NA,54750,648.2,4677306.529,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,92,NA,Household
Montenegro,UMC,"20,753",33.82,8.97,2.9,19.46,13.72,18.42,NA,2.7,NA,Yes,Yes,Yes,No,NA,622227,NA,92228,6200,3819.21,453791.52,2331.4,329780.3125,NA,NA,NA,NA,NA,NA,75.9,96.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.57,NA,5.42,NA,3.01,NA,NA
Mongolia,LMC,"10,940",22.7,NA,NA,50.1,12.7,14.5,NA,NA,NA,NA,NA,Yes,Yes,NA,3027398,NA,126300,14000,NA,81400,967.25,2900000,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,93.5,NA,NA,NA,6.5,NA,NA
Northern Mariana Islands,HIC,"60,956",43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,Yes,Yes,NA,Yes,54036,NA,NA,NA,NA,NA,NA,32761.4145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,64,NA,NA
Mozambique,LIC,"1,217",60,NA,NA,15,25,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,27212382,NA,NA,17000,NA,NA,NA,2500000,NA,NA,NA,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,1,NA,NA,NA,NA
Mauritania,LMC,"4,784",4.8,4,4.2,59.7,7.3,20,NA,NA,NA,NA,NA,Yes,No,NA,3506288,NA,NA,5100,NA,NA,NA,454000,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,37.3,NA,NA,54.7,NA,8,NA,NA,NA,NA
Mauritius,UMC,"20,647",64,2.8,NA,8,13,12.4,NA,NA,NA,NA,NA,Yes,Yes,NA,1263473,NA,NA,11000,17000,NA,NA,438000,NA,NA,NA,NA,NA,NA,98,83.73150685,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
Malawi,LIC,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16577147,NA,NA,9500,NA,NA,NA,1297844.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,UMC,"23,906",46,3,3,9,14,15,3,7,NA,No,Yes,Yes,Yes,Yes,30228016,42000000,NA,280000,2918478,831835,19500,12982685,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,1,NA,NA,71.5,NA,NA,17.5,10,NA,NA,Landfill
Namibia,UMC,"6,153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1559983,NA,NA,14000,NA,NA,NA,256729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,95.5,NA,NA
New Caledonia,HIC,"57,330",43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,NA,Yes,NA,NA,278000,NA,NA,NA,NA,NA,324,108157.384,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,LIC,"1,038",38,NA,1,57,2,2,NA,NA,NA,NA,NA,Yes,Yes,NA,8842415,NA,NA,7900,554000,NA,NA,1865645.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,12,4,NA,20,NA,NA
Nigeria,LMC,"4,690",NA,3.1,NA,11.3,8,4.8,NA,NA,NA,NA,NA,Yes,Yes,NA,154402176,NA,NA,277000,NA,NA,NA,27614830.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,60,NA,NA,NA,NA,NA
Nicaragua,LMC,"4,612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,5737723,NA,NA,10800,2837,NA,NA,1528816.293,NA,NA,NA,NA,NA,NA,92.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,59.3,21.1,NA,NA,NA,NA,NA
Netherlands,HIC,"56,849",35,5.4,4.3,20.24,21,14,NA,NA,NA,Yes,Yes,Yes,No,NA,17332850,14718640,96206470,534410,4830495,NA,2391871,8805088,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,27.1,NA,47.369,1.412,NA,NA,24.61,NA,NA,NA,NA
Norway,HIC,"64,962",15.49,4.6,6.12,13.15,26.57,2.25,NA,17.21,14.68,Yes,Yes,Yes,Yes,Yes,5347896,399805,3030449,150000,1482000,415000,1054590,4149967.25,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,16.69,NA,52.35,NA,NA,NA,26.16,3.38,1.42,NA,NA
Nepal,LIC,"2,902",52.39,4.36,1.9,7.12,18.21,15.14,0.9,NA,NA,NA,Yes,Yes,Yes,NA,28982772,NA,NA,23000,5051,NA,13408.27,1768977.49,NA,NA,NA,50,NA,NA,NA,62.3,NA,NA,NA,80,NA,2.87,NA,NA,37,NA,NA,NA,NA,60.13,NA,At generator level
Nauru,UMC,"11,167",43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,Yes,Yes,No,NA,13049,NA,NA,NA,NA,NA,NA,6191.7505,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,HIC,"41,857",28,4,4.5,37,7,8,1,11,NA,Yes,Yes,Yes,Yes,Yes,4692700,132.5342,3000000,95000,NA,1750000,NA,3405000,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
Oman,HIC,"30,536",27,6,NA,24,15,21,NA,2,5,No,Yes,Yes,Yes,NA,3960925,NA,735341,59000,1469835,NA,4500,1734885.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,99.99,NA,NA,NA,NA,NA,NA
Pakistan,LMC,"4,571",30,6,4,20,13,9,2,2,14,No,Yes,No,Yes,NA,193203472,82120000,NA,301000,1538000,NA,292000000,30760000,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,70,NA,2,NA,NA,40,50,NA,8,NA,NA,NA,Waste generated in 8 cities
Panama,HIC,"28,436",46.4,5.8,3.8,5.7,26.3,12,NA,NA,NA,NA,NA,Yes,NA,NA,3969249,NA,NA,3200,NA,NA,3094.7,1472262.215,NA,NA,NA,NA,NA,NA,84.9,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,23.4,18.9,NA,41.7,NA,NA,NA
Peru,UMC,"11,877",50.43,3.05,2.64,21.7,7.44,10.52,1.25,NA,2.97,Yes,Yes,Yes,Yes,Yes,30973354,NA,NA,182000,660180.1793,NA,7176,8356711.13,NA,38.2,NA,NA,NA,NA,82.93,NA,NA,95.3,NA,NA,NA,NA,15.58,NA,NA,56.39,NA,4,24.03,NA,NA,NA
Philippines,LMC,"7,705",52.31,2.34,4.22,21.52,8.7,10.55,0.37,NA,NA,Yes,Yes,Yes,Yes,Yes,103320224,NA,NA,290000,4332222.32,NA,NA,14631922.9,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,28,NA,72,NA,NA
Palau,HIC,"18,275",26,5,10,9,15,32,1,NA,2,None,None,Yes,None,Yes,21503,NA,NA,200,NA,NA,10.92,9426.7455,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papua New Guinea,LMC,"3,912",31,NA,NA,42,16.6,10,NA,NA,NA,None,Yes,Yes,Yes,None,7755785,NA,NA,7000,NA,NA,572,1000000,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,37,2,NA,NA,NA,NA
Poland,HIC,"33,222",37.27,10.07,2.17,26.69,11.27,12.13,NA,0.4,NA,NA,Yes,Yes,Yes,NA,37970872,4679634,135184220,224452,1679051,NA,2486818,12758213,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,16.11,NA,13.24,44.26,NA,NA,26.39,NA,NA,NA,NA
Puerto Rico,HIC,"34,311",13.1,2.4,10.4,23.8,19.4,10.4,NA,NA,20.5,NA,Yes,Yes,Yes,Yes,3473181,NA,NA,946.44,4.92,NA,NA,4170953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,NA,14,NA,19.5,NA,NA
Portugal,HIC,"34,962",36.49,6.73,1.85,27.68,13.64,10.72,NA,0.93,1.94,Yes,Yes,Yes,Yes,NA,10269417,183064,2743219,170078,701228,NA,817492,5268211,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,14.12,NA,20.68,48.97,NA,NA,16.23,NA,NA,NA,NA
Paraguay,UMC,"11,810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,6639119,NA,NA,34200,NA,NA,NA,1818501.365,NA,NA,NA,NA,NA,47.2,46.6,NA,NA,NA,NA,NA,NA,NA,40.2,NA,NA,23.4,NA,NA,36.4,NA,NA,NA
West Bank and Gaza,LMC,"5,986",59.1,2.4,2.7,11.5,10.1,14.2,NA,NA,NA,Yes,Yes,Yes,NA,Yes,4046901,440000,NA,NA,62621,131344,4572,1387000,NA,88,NA,NA,NA,NA,91.5,92.2,NA,93,NA,NA,NA,0.5,33,NA,NA,67,NA,0.5,NA,NA,NA,Disposal site
French Polynesia,HIC,"60,956",47,3,3,29,16,2,NA,NA,NA,NA,Yes,No,No,Yes,273528,NA,NA,NA,NA,NA,360,147000,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,61,NA,NA
Qatar,HIC,"96,262",57,4,9,5,11,14,NA,NA,NA,Yes,Yes,Yes,NA,No,2109568,NA,9706885,29000,105000,64000,450000,1000990.016,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,4,93,NA,NA,3,NA,NA,NA,NA
Romania,UMC,"29,984",56.26,4.89,2.5,10.68,11.34,12.33,NA,2,NA,Yes,Yes,Yes,Yes,Yes,19356544,1063964,162995232,132268,590300,NA,915888,5419832.5,NA,NA,NA,NA,NA,NA,NA,87.45,NA,NA,NA,NA,NA,7.46,NA,2.37,71.96,NA,NA,5.67,NA,12.54,NA,Disposal site
Russian Federation,UMC,"26,013",28.41,16.82,1.83,19.03,19.7,14.21,NA,NA,NA,Yes,Yes,Yes,Yes,NA,143201680,NA,NA,1392000,110000000,NA,NA,60000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,4.5,NA,0.5,NA,NA
Rwanda,LIC,"1,951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11917508,NA,NA,5900,NA,NA,NA,4384969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,HIC,"48,921",45.5,4,5,2.5,27,11,NA,5,NA,Yes,Yes,yes,NA,NA,31557144,NA,NA,508000,697000,NA,25207,16125700.58,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,85,NA,NA,NA,NA,15,NA,NA,NA,Disposal site
Sudan,LMC,"4,192",51.4,3.5,1.7,18.9,11.8,12.7,NA,NA,NA,NA,NA,NA,NA,NA,38647804,NA,NA,51000,NA,NA,NA,2831291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,18,NA,NA,NA,NA,NA
Senegal,LIC,"3,068",12,2,2,68,5,9,NA,2,NA,No,No,Yes,Yes,NA,15411614,NA,NA,15000,NA,NA,NA,2454059.25,NA,NA,NA,28,NA,NA,21.4,NA,NA,NA,40,NA,NA,NA,5.1,NA,NA,43.8,4.7,NA,NA,46.4,NA,NA
Singapore,HIC,"97,341",10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26,Yes,Yes,Yes,Yes,Yes,5703600,NA,1609300,100000,446870,NA,NA,1870000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,37,2,NA,NA,61,NA,NA,NA,NA
Solomon Islands,LMC,"2,596",42.8,6.65,13.15,3.7,6.45,22.35,4.9,NA,NA,No,Yes,Yes,No,Yes,563513,NA,NA,400,NA,NA,273.34,179971.9644,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,81,NA
Sierra Leone,LIC,"1,238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5439695,NA,NA,3400,NA,NA,NA,610222.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,LMC,"7,329",65,4,2,7,12,10,NA,NA,NA,NA,Yes,Yes,Yes,NA,6164626,NA,NA,30100,16465,NA,NA,1648996.18,NA,NA,NA,NA,NA,NA,78.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,7.9,NA,78.2,0.1,NA,NA
San Marino,HIC,"58,806",5.35,5.61,0.9,65.56,13.21,5.6,NA,1.28,2.49,NA,NA,NA,NA,NA,33203,NA,NA,NA,NA,NA,NA,17174.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.05,NA,54.95,NA,NA
Somalia,LIC,"1,863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14317996,NA,NA,NA,NA,NA,NA,2326099.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serbia,UMC,"18,351",37.62,5.44,1.38,16.72,13.57,12.73,0.4,NA,12.14,Yes,Yes,Yes,Yes,NA,6944975,199453,46707848,14388,13475026,NA,32888,2347401.5,NA,NA,NA,NA,NA,NA,70,74.67,NA,NA,NA,NA,NA,NA,NA,NA,73.91,NA,NA,0.76,NA,25.33,NA,Other
South Sudan,LIC,"1,796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11177490,NA,NA,NA,NA,NA,NA,2680681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,LMC,"3,721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191266,NA,NA,200,NA,NA,NA,25586.5,NA,NA,NA,NA,NA,NA,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,UMC,"16,954",57,3,3,24,NA,11,NA,NA,NA,No,No,No,No,No,526103,NA,NA,5000,NA,NA,1270.2,78619.79915,NA,NA,15,NA,NA,NA,79.5,48.7,NA,NA,70,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,37,NA,NA
Slovak Republic,HIC,"31,966",42,19,2,1,25,11,NA,NA,NA,Yes,Yes,Yes,Yes,NA,5454073,920337,4023409,30911,375688,NA,558605,2296164.75,NA,NA,NA,NA,NA,NA,NA,94.34,NA,NA,NA,NA,NA,7.29,NA,10.71,68.72,NA,NA,7.62,NA,5.66,NA,NA
Slovenia,HIC,"39,038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,2087946,289773,2071792,26359,155229,NA,227873,1052324.75,NA,NA,NA,NA,NA,NA,NA,93.84,NA,NA,NA,NA,NA,7.67,NA,17.06,22.68,NA,NA,46.44,NA,6.15,NA,NA
Sweden,HIC,"52,609",23.34,9.15,9.2,NA,36.4,6.58,NA,NA,15.33,Yes,Yes,Yes,NA,NA,10285453,2205186,152012352,721671,2568154,NA,1315108,4618168.5,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,15.63,NA,51.2,0.8,NA,NA,32.37,NA,NA,NA,NA
Eswatini,LMC,"8,321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1343098,NA,NA,5700,NA,NA,NA,218199.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sint Maarten (Dutch part),HIC,NA,46,7,7,12,15,13,NA,NA,NA,NA,Yes,Yes,NA,Yes,37685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seychelles,HIC,"23,303",48.5,5.2,4.6,25.8,5.9,9.9,0.2,0.5,NA,NA,Yes,Yes,Yes,yes,88303,NA,NA,1100,NA,NA,NA,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syrian Arab Republic,LIC,"8,587",57,3,4,22,7,7,NA,NA,NA,NA,Yes,Yes,NA,NA,20824892,NA,NA,NA,68000,NA,4600,4500000,NA,NA,75,NA,NA,NA,74,NA,NA,NA,95,NA,NA,1.5,NA,NA,20,80,NA,2.5,NA,NA,NA,Disposal site
Turks and Caicos Islands,HIC,"28,174",21.8,20.5,7.6,2.4,31.5,16.3,NA,NA,NA,NA,NA,Yes,Yes,NA,34900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad,LIC,"1,733",70,1,2,18,3,6,NA,NA,NA,NA,NA,NA,NA,NA,11887202,NA,NA,8800,NA,NA,NA,1358850.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Togo,LIC,"1,404",38,2,4,42,4,10,NA,NA,NA,NA,Yes,Yes,No,NA,7228915,NA,NA,6400,1900,NA,NA,1109030.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,96.2,NA,2,NA,NA,NA,NA
Thailand,UMC,"16,302",65.52,3.04,1.85,4.74,7.6,17.59,0.46,0.8,NA,NA,Yes,Yes,Yes,NA,68657600,82230000,1100000,384233,3445000,37400000,53868,26853366,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,0.4,27,53.5,NA,19.1,NA,NA,NA,NA
Tajikistan,LIC,"2,616",NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,NA,8177809,NA,NA,NA,NA,NA,NA,1787400,NA,NA,NA,NA,NA,NA,38.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
Turkmenistan,UMC,"11,471",16.18,4.64,11.44,62.54,NA,2.19,NA,3.01,NA,No,Yes,Yes,Yes,NA,5366277,NA,NA,22000,1000,32300,NA,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,Disposal Site
Timor-Leste,LMC,"3,345",43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,Yes,Yes,Yes,NA,1268671,NA,NA,3600,NA,NA,53.66,63875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tonga,UMC,"5,636",51.3,5.9,9,8.9,7.4,13.4,4.1,NA,NA,NA,Yes,Yes,Yes,NA,104951,NA,NA,300,NA,NA,102.23,17238.20175,NA,NA,NA,25,NA,NA,71,NA,NA,NA,NA,65,NA,NA,NA,NA,40,NA,NA,NA,NA,60,NA,NA
Trinidad and Tobago,HIC,"28,911",27.15,10.15,3.74,17.19,22.6,19.17,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,1328100,NA,NA,71.07,123914.1,NA,250.753,727874,NA,NA,NA,NA,NA,NA,94.31,NA,NA,NA,NA,NA,NA,0.8,12,NA,NA,84,NA,NA,NA,3.2,NA,Disposal Site
Tunisia,LMC,"10,505",68,2,4,5,10,11,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,11143908,4033000,NA,90000,150000,116000,16000,2700000,NA,NA,5,NA,NA,NA,65,NA,NA,NA,80,NA,NA,5,NA,NA,70,21,NA,4,NA,NA,NA,Disposal site
Turkey,UMC,"28,289",64,2,1,24,6,3,NA,NA,NA,NA,Yes,Yes,Yes,NA,83429616,NA,NA,623000,3432426,NA,NA,35374156,NA,NA,NA,NA,NA,NA,NA,88.12,NA,NA,NA,NA,NA,1,NA,NA,NA,44,NA,NA,54,1,NA,NA
Tuvalu,UMC,"3,793",43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,None,Yes,Yes,None,NA,11097,NA,NA,10,NA,NA,5.72,3989.4865,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,14.5,NA,15,NA,70.5,NA,NA
NA,HIC,"57,363",23.34,4.11,3.07,14.11,30.01,20.23,0.6,NA,4.43,NA,NA,Yes,Yes,NA,23434000,NA,NA,14036,NA,NA,NA,7336000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2,34.8,NA,1,NA,NA,NA,NA,NA
Tanzania,LIC,"2,129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,49082996,NA,NA,38000,NA,NA,NA,9276995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,22.6,NA,NA,8.5,NA,NA
Uganda,LIC,"1,972",74.5,0.8,0.6,10.6,6,7.6,NA,NA,NA,NA,NA,NA,NA,NA,35093648,NA,NA,25000,NA,NA,NA,7045049.836,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,6,7,NA,NA,NA
