country_name,income_id,gdp_per_capita($),composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
Guatemala,UMC,"8,125",37.71449118,4.39183558,NA,18.01847364,16.04670215,17.29080875,NA,NA,6.537688691,NA,NA,No,Yes,NA,16252429,NA,NA,55000,10051,NA,818.6,2756740.971,NA,NA,NA,NA,NA,NA,77.7,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,69.8,NA,NA,15.4,5.2,NA,NA
Guam,HIC,"59,075",27.3,4.6,9,8.7,28.5,12.4,3.1,6.4,NA,NA,Yes,Yes,Yes,Yes,159973,NA,NA,NA,NA,NA,NA,141500,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,17.85,64,18.15,NA,NA
Guyana,UMC,"9,812",50.1,4.7,4.2,12.1,10.7,14.2,1.5,2.5,NA,No,Yes,No,No,No,746556,NA,NA,5000,741.78,NA,NA,179251.5,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.37,NA,NA,0.54,NA,38.09,NA,Other
"Hong Kong SAR, China",HIC,"57,216",35,3,2,14,22,21,NA,3,NA,Yes,Yes,Yes,Yes,Yes,7305700,NA,1533000,70000,54812,NA,2268,5679816.465,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,34,NA,NA,NA,NA
Honduras,LMC,"5,396",57.9,1.27,2.11,6.62,17.36,14.41,0.33,NA,NA,No,NA,Yes,Yes,NA,9112867,NA,NA,1700,253.14,NA,NA,2162027.696,NA,NA,NA,NA,NA,NA,64.6,NA,NA,NA,NA,NA,NA,NA,59.9,NA,NA,15,NA,NA,11.3,13.8,NA,NA
Croatia,HIC,"28,829",30.9,3.7,2.1,11.5,23.2,22.9,NA,NA,5.7,Yes,Yes,Yes,Yes,NA,4067500,395664,805354,58078,130326,NA,56814,1810037.5,NA,NA,NA,NA,NA,NA,NA,97.76,NA,NA,NA,NA,NA,1.69,NA,NA,79.75,NA,NA,16.32,NA,2.24,NA,NA
Haiti,LIC,"2,953",61.3,1.6,2.5,16.8,4.1,12.7,NA,1,NA,No,No,No,No,No,10847334,NA,NA,6000,NA,NA,NA,2309852.455,NA,0.4,NA,NA,NA,12.4,NA,NA,NA,NA,23.8,NA,NA,NA,9.94,NA,NA,NA,NA,NA,NA,90.06,NA,Source
Hungary,HIC,"32,643",22.5,3.5,1.8,45.9,13.4,13,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,9769949,699238,7605276,50066,596554,NA,489182,3780970.25,NA,NA,NA,NA,NA,NA,NA,99.94,NA,NA,NA,NA,NA,6.22,NA,14.14,53.64,NA,NA,25.94,NA,0.06,NA,NA
Indonesia,LMC,"10,531",53.8,2.5,1.8,12.9,14.9,14,NA,NA,NA,NA,Yes,Yes,Yes,NA,261115456,122000000,NA,1274000,23000000,NA,82125,65200000,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,10,14,7,NA,NA,NA,NA
Isle of Man,HIC,"44,204",NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,Yes,80759,NA,122965,NA,NA,48783,NA,50551,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,25,25,NA,NA,50,NA,NA,NA,NA
